source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
3044,101010002,409,5,85,10101145,3.5300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3045,101010003,4919,5,144,10101237,16.7200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3046,101010004,4920,6,145,10101238,16.7200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3051,101010009,416,ADJ TO R.R.1646 & 1673,75,10101138,124.1200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3061,101010019,453,OLD R R 1860,98,10101203,54872.1400,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3067,101010025,459,R R 1022 & 1776(LEASE),4404,10101135,2000.0000,0.0000,0.0000,0.0000,True,,2023-02-01,,2022-10-21 00:00:00
3067,101010025,459,R R 1022 & 1776(LEASE),70,10101135,42645.3600,0.0000,0.0000,0.0000,True,,1873-01-01,2023-01-31,2022-10-21 00:00:00
3068,101010026,460,R R 1249,65,10101132,12541.9100,0.2900,0.0000,3637.1500,True,,2004-04-01,,2022-10-21 00:00:00
3068,101010026,460,R R 1249,64,10101132,12541.9100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3069,101010027,461,R R 1314,67,10101133,1858.0600,0.0500,0.0000,102.1900,True,,2004-04-01,,2022-10-21 00:00:00
3069,101010027,461,R R 1314,66,10101133,1858.0600,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3070,101010028,462,R R 1485,4465,10101131,4194.0000,1.0000,0.0000,0.0000,True,,2024-06-01,,2022-10-21 00:00:00
3070,101010028,462,R R 1485,4399,10101131,4857.5200,1.0000,0.0000,0.0000,True,,2022-11-01,2024-05-31,2022-10-21 00:00:00
3070,101010028,462,R R 1485,63,10101131,17237.0000,0.0000,0.0000,0.0000,True,,2002-09-01,2022-10-31,2022-10-21 00:00:00
3070,101010028,462,R R 1485,62,10101131,17489.0000,0.0000,0.0000,0.0000,True,,1873-01-01,2002-08-31,2022-10-21 00:00:00
3071,101010029,463,R R 1486,104,10101208,27809.9500,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3074,101010031,465,R R 1646,72,10101136,24265.7100,0.9900,0.0000,24023.0500,True,,2004-04-01,,2022-10-21 00:00:00
3074,101010031,465,R R 1646,71,10101136,24265.7100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3075,101010032,466,R R 1663,105,10101209,14155.7200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3077,101010033,467,R R 1673,74,10101137,3340.7900,1.0300,0.0000,3441.0100,True,,2004-04-01,,2022-10-21 00:00:00
3077,101010033,467,R R 1673,73,10101137,3340.7900,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3078,101010034,468,R R 1739,111,10101213,5088.5300,0.0000,0.0000,0.0000,True,,2002-09-01,,2022-10-21 00:00:00
3078,101010034,468,R R 1739,110,10101213,5196.5300,0.0000,0.0000,0.0000,True,,1873-01-01,2002-08-31,2022-10-21 00:00:00
3080,101010035,469,R R 2012,106,10101210,15276.7800,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3081,101010036,470,R R 2013,69,10101134,4566.1800,0.0000,0.0000,20.5500,True,,2004-04-01,,2022-10-21 00:00:00
3081,101010036,470,R R 2013,68,10101134,4566.1800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3088,101010041,475,R.R.2026,84,10101144,856.8400,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3090,101010043,477,RR 1735,97,10101202,34245.1600,0.1300,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3095,101010048,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,170,10101319,761.9000,999999.9900,0.0000,0.0000,True,,2011-01-01,,2022-10-21 00:00:00
7976,101010051,4484,LEASE OF 25,91,10101148,14966.0000,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8194,101010057,4700,OLD R.R.1823,88,10101146,38865.5300,0.0000,0.0000,23707.9700,True,,2004-04-01,,2022-10-21 00:00:00
