source_plot_id,plot_code,rr_no,street_no,main_structure_name,location,city_survey_no,city_survey_div,plot_area_sqm,plot_desc,plot_status,plot_active,is_vacant,owner,owner_name,owner_contactno,dept_name,estate_id,div_id,plot_unit_id,ward_id,zone_id,zone_detail_id,plot_customer_code,mcgm_allotted_no,mcgm_plot_no,existing_plot_no,reservation,rrzone2017,mbpt_road_connectivity,schedule_east,schedule_west,schedule_north,schedule_south,pincode,plot_remarks,let_out_id,let_out_name,letout_status,letout_recorded_area_sqm,letout_land_area_sqm,letout_billable_area_sqm,letout_dept_id,letout_from_date,letout_to_date,existing_tenancy_id,existing_tenancy_unit_id,tenancy_mapping_active,tenancy_allotted,existing_tenant_name,existing_current_rent,existing_commercial_rent,existing_g_sec_rate,existing_lease_years,existing_agreement_start_date,existing_agreement_end_date,existing_lac_approval_date,existing_chairman_approval_date,existing_board_approval_date,existing_tamps_approval_date,existing_upfront_premium_flag,existing_upfront_premium_amount,tenancy_area_sqm,tenancy_consumed_fsi,tenancy_recorded_built_up_area_sqm,tenancy_commercial_built_up_area_sqm,tenancy_area_active,tenancy_area_from_date,tenancy_area_to_date,recorded_planning_fsi,recorded_additional_fsi,recorded_fsi_addition,recorded_planning_built_up_area_sqm,crz_applicable,re_develop_applicable,application_tenancy_id,application_status,application_allotted,existing_application_purpose,existing_allotment_basis,existing_application_lease_start_date,existing_application_lease_end_date,existing_tender_number,existing_tender_id,existing_tender_description,existing_application_rate,existing_rate_revision_percent,existing_rate_revision_amount,existing_application_upfront_premium,existing_security_deposit,existing_application_agreement_date,existing_sor_applicable_date,recorded_rr_land_value,rr_land_value_from_date,rr_land_value_to_date,recorded_sor_market_value,sor_market_value_from_date,sor_market_value_to_date,zone_home_rate,zone_non_home_rate,zone_annual_increment,zone_rate_from_date,zone_rate_to_date
3044,101010002,5,,,WADALA,6 (PT),SALT PAN,3.53,,A,False,True,True,,,4,1,56,1,6,,,10101145,,,,,,False,,,,,400035,,409,5,A,,,3.5300,4,,,10101145,1,True,True,,,,,,,,,,,,False,,3.5300,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101145,APPROVED,True,,Other,1965-05-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3045,101010003,5,,OPEN PLOT,WADALA,358,DADAR-NAIGAON,16.72,,A,False,True,True,,,,1,56,1,6,,,10101237,,,,,,False,LAND WITH MbPT SISTER DEPT.,L. M. NADKARNI MARG.,L. M. NADKARNI MARG.,L. M. NADKARNI MARG.,400035,,4919,5,A,,,16.7200,4,,,10101237,1,True,True,,,,,,,,,,,,False,,16.7200,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101237,APPROVED,True,,Other,1965-08-28,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3046,101010004,6,,OPEN PLOT,WADALA,8A/358,DADAR-NAIGAON,16.72,,A,False,True,True,,,,1,56,1,6,,,10101238,,,,,,False,L. M. NADKARNI MARG,LAND WITH MbPT SISTER DEPT.,L. M. NADKARNI MARG,L. M. NADKARNI MARG,400035,,4920,6,A,,,16.7200,4,,,10101238,1,True,True,,,,,,,,,,,,False,,16.7200,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101238,APPROVED,True,,Other,1961-11-07,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3051,101010009,ADJ TO R.R.1646 & 1673,,,WADALA,7A/358,DADAR-NAIGAON,124.12,,A,False,True,True,,,4,1,56,1,7,,,10101138,,,,,,False,MbPT HOSPITAL ROAD,MbPT LAND,RR - 1673,O.P.L. YARD.,400035,,416,ADJ TO R.R.1646 & 1673,A,,,124.1200,4,,,10101138,1,True,True,,,,,,,,,,,,False,,124.1200,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101138,APPROVED,True,storage of non-hazardous goods & office in connection therewith,Other,1946-06-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3061,101010019,OLD R R 1860,,PRIVATE STRUCTURE,WADALA,1/358,DADAR-NAIGAON,54872.14,,A,False,True,True,,,,1,56,1,7,,,10101203,,,,,,True,RR – 2023 & LEASED T CASTROL LTD.,RR – 1735,TROMBAY ROAD,LEASED TO CENTRAL WAREHOUSING CORPORATION. & PARTLY BY MbPT ROAD ,400035,,4173,OLD R.R.1860,A,,,,4,,,10101316,1,False,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,10101316,APPROVED,False,,Other,1873-01-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3067,101010025,R R 1022 & 1776(LEASE),,PRIVATE STRUCTURE,WADALA,6/358,DADAR-NAIGAON,42645.36,,A,False,True,True,,,,1,56,1,7,,,10101135,,,,,,False,RAILWAY SIDING,MbPT HOSPITAL ROAD,RR – 1249,RAILWAY SIDING,400035,,459,R R 1022 & 1776(LEASE),A,,,42645.3600,4,,,20501221,5,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20501221,APPROVED,True,,SWL,1873-01-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3068,101010026,R R 1249,,PRIVATE STRUCTURE,WADALA,15/358,DADAR-NAIGAON,12541.91,,A,False,True,True,,,,1,56,1,7,,,10101132,,,,,,False,MbPT PASSAGE,L.M. NADKARNI MARG ,RR - 1314,RR - 1776,400035,,460,R R 1249,A,,,12541.9100,4,,,20601119,6,False,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601119,APPROVED,False,,Other,1873-01-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3069,101010027,R R 1314,,PRIVATE STRUCTURE,WADALA,29/358,DADAR-NAIGAON,1858.06,,A,False,True,True,,,,1,56,1,7,,,10101133,,,,,,False,RR -  2026,MbPT PASSAGE,"WESTERN INDIA OIL DIST. CO. OF INDIA LTD, RR - 2013",RR -  1249,400035,,461,R R 1314,A,,,1858.0600,4,,,20601202,6,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601202,APPROVED,True,,Other,1952-06-23,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3070,101010028,R R 1485,,PRIVATE STRUCTURE,WADALA,16/358,DADAR-NAIGAON,17237.00,,A,False,True,True,,,,1,56,1,7,,,10101131,,,,,,False,RR - 1739 & RR - 2026,L.M. NADKARNI MARG ,RR - 1739,RR - 2013,400035,,462,R R 1485,A,,,17237.0000,4,,,20601205,6,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601205,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1970-11-09,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3071,101010029,R R 1486,,PRIVATE STRUCTURE,WADALA,12A/358,DADAR-NAIGAON,27809.95,,A,False,True,True,,,,1,56,1,7,,,10101208,,,,,,True,RR – 1663,PLOT : 107,MbPT LAND & PLOT : 101,CALTEX ROAD,400035,,463,R R 1486,A,,,27809.9500,4,,,10101208,1,True,True,,,,,,,,,,,,False,,27809.9500,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101208,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1937-01-13,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
