source_plot_id,plot_code,let_out_id,let_out_name,letout_status,tenancy_mapping_id,tenancy_id,unit_id,company_name,is_active,is_alloted,current_rent,current_rent_commercial,home_rate,non_home_rate,g_secrate,long_lease_years,agreement_start_date,agreement_end_date,lac_approval_date,chairman_approval_date,board_approval_date,tamps_approval_date,commencement_date,termination_date,is_upfront_premimum,upfront_premimum_amount,is_service_charge_applicable,percent_rate_revision,amount_rate_revision,update_timestamp
3044,101010002,409,5,A,318,10101145,1,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:34:50.931000
3044,101010002,409,5,A,4625,20501130,5,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3045,101010003,410,5,A,319,10101237,1,,True,True,,,,,,,,,,,,,,,False,,False,,,2023-12-01 15:28:46.880000
3045,101010003,410,5,A,4626,20501130,5,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3045,101010003,4919,5,A,198,10101237,1,,True,True,,,,,,,,,,,,,,,False,,False,,,2023-12-01 15:28:46.880000
3046,101010004,411,6,A,320,10101238,1,,True,True,,,,,,,,,,,,,,,False,,False,,,2023-12-01 15:28:46.880000
3046,101010004,411,6,A,4627,20501130,5,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3046,101010004,4920,6,A,199,10101238,1,,True,True,,,,,,,,,,,,,,,False,,False,,,2023-12-01 15:28:46.880000
3051,101010009,416,ADJ TO R.R.1646 & 1673,A,3409,10101138,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3051,101010009,416,ADJ TO R.R.1646 & 1673,A,4631,20501132,5,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3061,101010019,453,OLD R R 1860,A,2901,10101203,1,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:34:50.931000
3061,101010019,453,OLD R R 1860,A,4221,20501210,5,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3061,101010019,4168,OLD R.R. 1860,A,239,10101311,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3061,101010019,4169,OLD R.R.1860,A,240,10101312,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3061,101010019,4170,OLD R.R.1860,A,1117,10101313,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3061,101010019,4171,OLD R.R.1860,A,341,10101314,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3061,101010019,4172,OLD R.R.1860,A,342,10101315,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3061,101010019,4173,OLD R.R.1860,A,343,10101316,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3067,101010025,459,R R 1022 & 1776(LEASE),A,2907,10101135,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3067,101010025,459,R R 1022 & 1776(LEASE),A,4279,20501221,5,,True,True,,,,,,,,,,,,,,,False,,True,,,2025-10-01 14:29:55.491000
3068,101010026,460,R R 1249,A,2908,10101132,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
3068,101010026,460,R R 1249,A,4275,20601119,6,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-11-17 15:40:44.083000
