"plot_id","plot_code","rr_no","street_no","main_structure_name","location","plot_area_sqm","let_out_id","let_out_name","tenancy_id","unit_id","agreement_start_date","agreement_end_date","long_lease_years","letout_area_sqm","consumed_fsi","proposed_use","lease_start_date","lease_end_date"
3044,"101010002","5",,,WADALA,3.53,409,"5","10101145",1,,,,3.5300,0.0000,"","1965-05-01",""
3045,"101010003","5",,OPEN PLOT,WADALA,16.72,410,"5","10101237",1,,,,,,"","1965-08-28",""
3045,"101010003","5",,OPEN PLOT,WADALA,16.72,4919,"5","10101237",1,,,,16.7200,0.0000,"","1965-08-28",""
3046,"101010004","6",,OPEN PLOT,WADALA,16.72,411,"6","10101238",1,,,,,,"","1961-11-07",""
3046,"101010004","6",,OPEN PLOT,WADALA,16.72,4920,"6","10101238",1,,,,16.7200,0.0000,"","1961-11-07",""
3051,"101010009",ADJ TO R.R.1646 & 1673,,,WADALA,124.12,416,ADJ TO R.R.1646 & 1673,"10101138",1,,,,124.1200,0.0000,storage of non-hazardous goods & office in connection therewith,"1946-06-01",""
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,453,OLD R R 1860,"10101203",1,,,,54872.1400,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1952-01-25",""
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4168,OLD R.R. 1860,,,,,,,,,,
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4169,OLD R.R.1860,,,,,,,,,,
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4170,OLD R.R.1860,,,,,,,,,,
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4171,OLD R.R.1860,,,,,,,,,,
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4172,OLD R.R.1860,,,,,,,,,,
3061,"101010019",OLD R R 1860,,PRIVATE STRUCTURE,WADALA,54872.14,4173,OLD R.R.1860,,,,,,,,,,
3067,"101010025",R R 1022 & 1776(LEASE),,PRIVATE STRUCTURE,WADALA,42645.36,459,R R 1022 & 1776(LEASE),"10101135",1,,,,42645.3600,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1978-03-01",""
3067,"101010025",R R 1022 & 1776(LEASE),,PRIVATE STRUCTURE,WADALA,42645.36,459,R R 1022 & 1776(LEASE),"10101135",1,,,,2000.0000,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1978-03-01",""
3067,"101010025",R R 1022 & 1776(LEASE),,PRIVATE STRUCTURE,WADALA,42645.36,459,R R 1022 & 1776(LEASE),"20501221",5,,,,,,"","1873-01-01",""
3068,"101010026",R R 1249,,PRIVATE STRUCTURE,WADALA,12541.91,460,R R 1249,,,,,,,,,,
3069,"101010027",R R 1314,,PRIVATE STRUCTURE,WADALA,1858.06,461,R R 1314,"20601202",6,,,,,,"","1952-06-23",""
3070,"101010028",R R 1485,,PRIVATE STRUCTURE,WADALA,17237.00,462,R R 1485,"10101131",1,,,,17237.0000,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1937-01-13",""
3070,"101010028",R R 1485,,PRIVATE STRUCTURE,WADALA,17237.00,462,R R 1485,"10101131",1,,,,4857.5200,1.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1937-01-13",""
3070,"101010028",R R 1485,,PRIVATE STRUCTURE,WADALA,17237.00,462,R R 1485,"10101131",1,,,,4194.0000,1.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1937-01-13",""
3070,"101010028",R R 1485,,PRIVATE STRUCTURE,WADALA,17237.00,462,R R 1485,"10101131",1,,,,17489.0000,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1937-01-13",""
3070,"101010028",R R 1485,,PRIVATE STRUCTURE,WADALA,17237.00,462,R R 1485,"20601205",6,,,,,,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1970-11-09",""
3071,"101010029",R R 1486,,PRIVATE STRUCTURE,WADALA,27809.95,463,R R 1486,"10101208",1,,,,27809.9500,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1937-01-13",""
3071,"101010029",R R 1486,,PRIVATE STRUCTURE,WADALA,27809.95,463,R R 1486,"20601216",6,,,,,,"","1970-09-01",""
3074,"101010031",R R 1646,,PRIVATE STRUCTURE,WADALA,24265.71,465,R R 1646,"10101136",1,,,,24265.7100,0.9900,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1940-06-25",""
3074,"101010031",R R 1646,,PRIVATE STRUCTURE,WADALA,24265.71,465,R R 1646,"10101136",1,,,,24265.7100,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1940-06-25",""
3074,"101010031",R R 1646,,PRIVATE STRUCTURE,WADALA,24265.71,465,R R 1646,"20601226",6,,,,,,storage of non-hazardous goods & office in connection therewith,"1959-07-07",""
3075,"101010032",R R 1663,,PRIVATE STRUCTURE,WADALA,14155.72,466,R R 1663,"10101209",1,,,,14155.7200,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1946-10-01",""
3075,"101010032",R R 1663,,PRIVATE STRUCTURE,WADALA,14155.72,466,R R 1663,"20601226",6,,,,,,storage of non-hazardous goods & office in connection therewith,"1959-07-07",""
3077,"101010033",R R 1673,,PRIVATE STRUCTURE,WADALA,3340.79,467,R R 1673,"10101137",1,,,,3340.7900,1.0300,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1942-11-17",""
3077,"101010033",R R 1673,,PRIVATE STRUCTURE,WADALA,3340.79,467,R R 1673,"10101137",1,,,,3340.7900,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1942-11-17",""
3077,"101010033",R R 1673,,PRIVATE STRUCTURE,WADALA,3340.79,467,R R 1673,"20601226",6,,,,,,storage of non-hazardous goods & office in connection therewith,"1959-07-07",""
3078,"101010034",R R 1739,,PRIVATE STRUCTURE,WADALA,5088.53,468,R R 1739,"20601235",6,,,,,,"","1994-07-01",""
3080,"101010035",R R 2012,,PRIVATE STRUCTURE,WADALA,15276.78,469,R R 2012,"10101210",1,,,,15276.7800,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1961-04-01",""
3080,"101010035",R R 2012,,PRIVATE STRUCTURE,WADALA,15276.78,469,R R 2012,"20601249",6,,,,,,"","2003-10-01",""
3081,"101010036",R R 2013,,PRIVATE STRUCTURE,WADALA,4566.18,470,R R 2013,"20601249",6,,,,,,"","2003-10-01",""
3088,"101010041",R.R.2026,,PRIVATE STRUCTURE,WADALA,856.84,475,R.R.2026,"10101144",1,,,,856.8400,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1965-06-15",""
3088,"101010041",R.R.2026,,PRIVATE STRUCTURE,WADALA,856.84,475,R.R.2026,"20601303",6,,,,,,"","1998-02-01",""
3090,"101010043",RR 1735,,PRIVATE STRUCTURE,WADALA,34245.16,477,RR 1735,"10101202",1,,,,34245.1600,0.1300,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1949-07-08",""
3090,"101010043",RR 1735,,PRIVATE STRUCTURE,WADALA,34245.16,477,RR 1735,"20601303",6,,,,,,"","1998-02-01",""
3095,"101010048",STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,,OPEN PLOT,WADALA,761.90,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,"10101319",1,,,,761.9000,999999.9900,"","2005-09-01",""
3095,"101010048",STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,,OPEN PLOT,WADALA,761.90,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,"20602105",6,,,,,,"","1994-06-01",""
7976,"101010051",LEASE OF 25, , , ,14966.00,4484,LEASE OF 25,,,,,,,,,,
7979,"101010054",STALL NO 4, , , ,3.72,,,,,,,,,,,,
8194,"101010057",OLD R.R.1823, , , ,38865.53,4700,OLD R.R.1823,,,,,,,,,,
8195,"101010058",OLD RR 2023, , , ,5575.48,4701,OLD RR 2023,,,,,,,,,,
8195,"101010058",OLD RR 2023, , , ,5575.48,5562,"2023",,,,,,,,,,
8187,"101030002",P.T.LAND S.NO.83 AT AMBAPADA, , , ,23500.00,,,,,,,,,,,,
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,493,LEASE OF P.T.LAND,"10104103",1,,,,3609.0900,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1985-01-01",""
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,493,LEASE OF P.T.LAND,"20701103",7,,,,,,"Godowns, offices, works(factories) & residential quarters for employees, electric sub-station","1962-09-08",""
3099,"101040001",LEASE OF P.T.LAND,,,PIR PAU PIER,3609.09,5581,Test,,,,,,,,,,
