"plot_id","estate_id","plot_code","rr_no","street_no","main_structure_name","mcgm_allotted_no","mcgm_ward_name","location","city_survey_no","city_survey_div","area","plot_desc","update_by","update_timestamp","status","verified_return_by","is_verified","is_active","remarks","approve_reject_on","approve_reject_by","verified_return_on","div_id","unit_id","row_update_by","mcgm_plot_no","existing_plot_no","no_of_splits","owner","owner_name","owner_contactno","dept_name","zone_id","zone_detail_id","admin_id","schedule_east","schedule_west","schedule_north","schedule_south","pincode","ward_id","customer_code","mbpt_road_connectivity","from_date","to_date","created_by_merge","created_by_split","prev_plot_id","result_statement","rr_noplot","reservation","plot_split_no","plot_action_forwardedto","plot_action_forward_rmk","plot_action_apr_rmk","plot_action_aprovedby","plot_action_type","is_vacant","rrzone2017"
8392,11,"205010048",Land at STP and Portion of Kerosene Wharf and Jetty,,Open Plot,,F/S,,"145",PAREL-SEWERI,0.00,,CDAC,2020-05-09 18:01:36.360,A,,true,false,,,,,57,5,,,,0,true,,,,,,97,,,,,,,"20501240",false,,,false,false,7572,,,,,,,,,,false,
8393,5,"","IN HOUSE PHARMACY AT MBPT HOSPITAL
",,"",,"","","","",0.00,,CDAC,2026-03-03 16:20:30.300,A,,true,false,,,,,56,1,,,,0,true,,,,,,97,"","","","",,,"10101321",false,,,false,false,8393,,,,,,,,,,false,
8394,11,"","GR FLR&PARTOF 1ST FLR OF BLDG-32@OLD NADKARNI PARK(1-8,13-16
",,Open Plot,,F/S,,"","",0.00,,CDAC,2026-05-09 18:01:36.360,A,,true,false,,,,,57,5,,,,0,true,,,,,,97,,,,,,,"10101320",false,,,false,false,7572,,,,,,,,,,false,
8395,11,"",R R NO 122,,Open Plot,,F/S,,"","",0.00,,CDAC,2026-05-09 18:01:36.360,A,,true,false,,,,,57,5,,,,0,true,,,,,,97,,,,,,,"20701120",false,,,false,false,7572,,,,,,,,,,false,
8044,5,"101050048",OLD RR 1984,"", , ,F/S WARD, ,"145 (part)",PAREL SEWRI,10346.98,,Mahesh Mohite,2020-07-15 12:13:57.570,A,,true,false, ,,,,56,1,nihar, , ,0,true, , , ,,,97, , , , ,,,"10105117",false,,,false,false,8044,,,,,,,,,,true,
7695,16,"207010134",R R 2004,,Private Structure,,E,,"170",MAZAGAON,5499.30,,Mahesh Mohite,2020-05-09 18:01:36.360,A,,true,false,,,,,57,7,,,,0,true,,,,,,97,,,,,,,"20701339",false,,,false,false,7695,,,,,,,,,,true,
7776,17,"208010163","118 KASSARA STREET",,Private Structure,,E,,"1",MAZAGAON,55.18,,Mahesh Mohite,2020-05-09 18:01:36.360,A,,true,false,,,,,57,8,,,,0,true,,,,,,97,,,,,,,"20801305",false,,,false,false,7776,,,,,,,,,,true,
5522,14,"206010061","92",,,,,MAZGAON TANK BUNDER,"632",MAZGAON,184.41,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,6,do_CD_shreyas,,,0,true,,,,,,97,REAY ROAD,PLOT NO.91,B.P.T ROAD,PLOT NO.93,400010,5,"20601234
",false,,,false,false,5522,,,,,,,,,,true,
5544,14,"206010082","120",,,,, MAZGAON TANK BUNDER,"3/630",MAZGAON,581.29,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,6,do_CD_shreyas,,,0,true,,,,,,97,PLOT NO.121 FML,PLOT NO.119 FML,ROAD,ROAD,400010,5,"20601311
",true,,,false,false,5544,,,,,,,,,,true,
4236,19,"309010012","161",,,,B,ELPHINSTON (EAST),"1",PRINCESS DOCK,2.00,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,9,,,,0,true,,,"4",,,97,,,,,400009,2,"30901426",false,,,false,false,4236,,,,,,,,,,true,
3606,11,"205010002","161 SURAT STREET",,,,F/S,MAZGAON SEWREE RECLAMATION (EAST),"323/145",PAREL-SEWERI,0.00,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,5,,,,0,true,,,"4",,,97,,,,,400033,7,"20501111",false,,,false,false,3606,,,,,,,,,,true,
4224,21,"310010002","92",,,,B,ELPHINSTON (WEST),"59",PRINCESS DOCK,191.47,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,10,,,,0,true,,,"4",,,97,,,,,400009,2,"31001411",false,,,false,false,4224,,,,,,,,,,true,
5434,38,"413040217",PART OF 10/8,,,,E,LAKRI BUNDER,"1",MAZAGAON,347.46,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,59,13,,,,0,true,,,"4",,,97,,,,,400010,5,"41304404,
41304405,
41304406,
41304407,
",false,,,false,false,5434,,,,,,,,,,true,
8363,3,"0101030007",split 1,,,,,,,,23000.00,,mbpt_no,2024-02-08 12:53:31.224,SIP,,false,false,,,,,56,1,mbpt_no,"11",,0,true,xyz,"9089789876",,,,,c,d,a,b,,,,false,2024-02-07,,false,true,8187,,,,,,,,,,false,
8364,3,"0101030007",split 2,,,,,,,,500.00,,mbpt_no,2024-02-08 12:53:31.224,SIP,,false,false,,,,,56,1,mbpt_no,"12",,0,true,rtx,"9089789876",,,,,c,d,a,b,,,,false,2024-02-07,,false,true,8187,,,,,,,,,,false,
3068,1,"101010026",R R 1249,,PRIVATE STRUCTURE,,F/S,WADALA,"15/358",DADAR-NAIGAON,12541.91,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,1,,,,0,true,,,,,,97,MbPT PASSAGE,L.M. NADKARNI MARG ,RR - 1314,RR - 1776,400035,7,"10101132",false,,,false,false,3068,,,,,,,,,,true,
3107,5,"101050007","31",,PRIVATE STRUCTURE,,F/S,SEWREE (EAST),"145",PAREL-SEWERI,1515.81,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,1,,,,0,true,,,,,,97,CUSTOM PREVENTIVE QUARTERS,SEWREE FORT ROAD,MbPT QUARTERS,OFFICE MbPT REV.,400015,7,"10105203",true,,,false,false,3107,,,,,,,,,,true,
3225,8,"102030003","5",,PRIVATE STRUCTURE,,F/S,MAZGAON SEWREE RECLAMATION (J.B.),"145",PAREL-SEWERI,11.61,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,2,,,,0,true,,,,,,97,RAILWAY SIDING,P.D MELLO ROAD,PLOT : 4,PLOT : 6,400010,7,"10203104",true,,,false,false,3225,,,,,,,,,,true,
3230,8,"102030008","12",,PRIVATE STRUCTURE,,F/S,MAZGAON SEWREE RECLAMATION (J.B.),"36/147",PAREL-SEWERI,16.44,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,2,,,,0,true,,,,,,97,COTTON GREEN RAILWAY STATION,P.D MELLO ROAD,PLOT : 11,PLOT : 13,400010,7,"10203111",true,,,false,false,3230,,,,,,,,,,true,
3467,10,"104010104","3B",,OPEN PLOT,,F/S,MAZGAON SEWREE RECLAMATION (GRAIN & COTTON DEPOT),"145",PAREL-SEWERI,244.80,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,4,,,,0,true,,,,,,97,PLOT : 3-A,RAILWAY SIDING,PLOT : 4-B,MbPT PASSAGE,400015,7,"10401425",false,,,false,false,3467,,,,,,,,,,true,
3516,10,"104010149",D-2  COAL DEPOT,,OPEN PLOT,,F/S,MAZGAON SEWREE RECLAMATION (GRAIN & COTTON DEPOT),"145",PAREL-SEWERI,278.71,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,4,,,,0,true,,,,,,97,PLOT : D-3,MbPT ROAD,MbPT PASSAGE,PLOT : E-1,400015,7,"10401544",true,,,false,false,3516,,,,,,,,,,true,
3552,10,"104010185",NORTH OF F SHED GRAIN DEPOT,,PRIVATE STRUCTURE,,F/S,MAZGAON SEWREE RECLAMATION (GRAIN & COTTON DEPOT),"145",PAREL-SEWERI,82.31,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,4,,,,0,true,,,,,,97,RAILWAY SIDING,RAILWAY SIDING,MbPT ROAD,SHED-F (GDN. 70),400015,7,"10401138",true,,,false,false,3552,,,,,,,,,,true,
3695,17,"208010030","187A/1",,,,E,MAZGAON RECLAMATION (SOUTH),"1/134A",MAZGAON,4.83,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,8,,,,0,true,,,,,,97,Plot No.195 & RR No.2008,Quay Street,Plot No.186,Plot No.187-B,400010,5,"20801429
",false,,,false,false,3695,,,,,,,,,,true,
4032,17,"208010059","32 AT PANTON BUNDER",,,,E,MAZGAON RECLAMATION (SOUTH),"1/210",MAZGAON,258.55,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,8,,,,0,true,,,,,,97,RR No.2019 & Plot No.31,Link Road,Plot No.22,Plot No.40-A,400010,5,"20801115
",false,,,false,false,4032,,,,,,,,,,true,
4230,19,"309010007","121",,,,B,ELPHINSTON (EAST),"1",PRINCESS DOCK,71.35,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,9,,,,0,true,,,,,,97,PLOT NO. 120,O.N.G.C (15 ML),PLOT NO. 131-B,MALET ROAD,400009,2,"30901421",false,,,false,false,4230,,,,,,,,,,true,
4284,19,"309010014","120 121-A,121-B,122 & 119",,,,B,ELPHINSTON (EAST),"1",PRINCESS DOCK,1348.63,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,9,,,,0,true,,,,,,97,PLOT NO-118,O.N.G.C (15.MT),LEASED TO STATE TRADING CORPORATION OF INDIA LTD,MALET ROAD,400009,2,"30901417",false,,,false,false,4284,,,,,,,,,,true,
4332,26,"312020017","26B",,,,A,SASSOON DOCK,"67",COLABA,9.38,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 18-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 18-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,PLOT NO-26-A,PLOT NO-25,P.T PASSAGE,P.T PASSAGE,400005,1,"31202146",false,,,false,false,4332,,,,,,,,,,true,
4358,26,"312020030","36 C/C",,,,A,SASSOON DOCK,"67",COLABA,2.23,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 18-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 18-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,P.T PASSAGE,P.T PASSAGE,PLOT NO-36C-c,PLOT NO36C-b,400005,1,"31202209",false,,,false,false,4358,,,,,,,,,,true,
4583,19,"309010045",OLD RR 1616,,,,B,ELPHINSTON (EAST),"43847",PRINCESS DOCK,138.00,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,58,9,,,,0,true,,,,,,97,MANSION ROAD,P.D. MELLO ROAD,RR NO. 1866,RR NO. 1622,400009,2,"30901149",false,,,false,false,4583,,,,,,,,,,true,
3088,1,"101010041",R.R.2026,,PRIVATE STRUCTURE,,F/S,WADALA,"29/358",DADAR-NAIGAON,856.84,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,1,,,,0,true,,,,,,97,MbPT LAND & RR - 1823,RYL. SIDING,MbPT LAND,RR - 1823,400035,7,"10101144",false,,,false,false,3088,,,,,,,,,,true,
3288,9,"103010041",JETHA F 105,,PRIVATE STRUCTURE,,E,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),"24838",MAZAGAON,227.43,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,3,,,,0,true,,,,,,97,RAILWAY SIDING,"JETHA 73 TO 107, 80 TO 85",FRAMJI AVENUE,"JETHA 86 TO 93, 95 TO 104",400033,5,"10301530",false,,,false,false,3288,,,,,,,,,,true,
4458,26,"312020037",GDN NO 158,,,,A,SASSOON DOCK,"67",COLABA,1460.59,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 17-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 17-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,"159-MBPT QUARTERS",GATE,MIDDLE COLABA ROAD,PLOT NO-23A & PLOT NO-29A,400005,1,"31202140",false,,,false,false,4458,,,,,,,,,,true,
7730,17,"208010117","69 2ND CROSS STREET",,Private Structure,,E,,"1",MAZAGAON,90.02,,Mahesh Mohite,2020-05-09 18:01:36.360,A,,true,false,,,,,57,8,,,,0,true,,,,,,97,,,,,,,"20801206",false,,,false,false,7730,,,,,,,,,,false,
3231,8,"102030009","13",,PRIVATE STRUCTURE,,F/S,MAZGAON SEWREE RECLAMATION (J.B.),"36/147",PAREL-SEWERI,18.97,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,2,,,,0,true,,,,,,97,COTTON GREEN RAILWAY STATION,P.D MELLO ROAD,PLOT : 12,PLOT : 14A C.RLY,400010,7,"10203126",true,,,false,false,3231,,,,,,,,,,true,
8312,12,"0205020007","88888",almeda street,shiva building,"99999",,titwala,"194/145",PAREL SEWRI,500.00,dqweeqweqwe,mbpt_do,2022-12-29 15:39:41.606,A,mbpt_no,true,false,ewerwerwer,2022-12-29 15:41:42.805,mbpt_hod,2022-12-29 15:41:00.175,57,5,mbpt_hod,,"",0,true,"","",,,,9,qwwqe,qew,aawd,dwd,110005,10,,false,2010-01-01,9999-01-28,false,false,8312,,R.R No,No,,,,,,,false,
4586,26,"312020048",OLD RR 1773,,,,A,SASSOON DOCK,"24869",COLABA,3172.79,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 16-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 18-12-2019 User: mbpt_hod <br>Remark: correct the CS no.<br> <br> Date: 18-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 18-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,RR NO. 1773-E,RR NO. 1773-J,MB.P.T ROAD,SAGAR PRESS GODOWNS,400005,1,"31202128",false,,,false,false,4586,,,,,,,,,,true,
5342,40,"413060053","62/C",,,,E,NEW TANK BUNDER,"1",MAZAGAON,120.40,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,59,13,,,,0,true,,,,,,97,PLOT NO.63-C,PLOT NO.61,PLOT NO.55,MbPT ROAD,400010,5,"41306129",false,,,false,false,5342,,,,,,,,,,true,
5470,16,"207010048","5",,,,,MAZGAON RECLAMATION (NORTH),"1",MAZAGAON,118.36,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,7,do_CD_shreyas,,,0,true,,,,,,97,MAGAZINE STREET,PLOT NO.4 & THE BOMBAY BURMA TDG.CORPTN.LTD.,PT PASSAGE,MAGAZINE STREET,400010,5,"20701109
",false,,,false,false,5470,,,,,,,,,,true,
5478,14,"206010021","21",,,,,MAZGAON TANK BUNDER,"19/671",MAZGAON,70.61,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,57,6,do_CD_shreyas,,,0,true,,,,,,97,PLOT NO.22 FML,PLOT NO.20,PLOT NO.19,Ghorupdeo Cross Road No.1,400010,5,"20601117
",false,,,false,false,5478,,,,,,,,,,true,
4588,26,"312020049",OLD RR 1991,,,,A,SASSOON DOCK,"67",COLABA,774.82,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 16-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 18-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,COMPARTMENT-C MT,COMPARTMENT-A MT VACANT,MT,P.T PASSAGE,400005,1,"31202116",false,,,false,false,4588,,,,,,,,,,false,
7990,23,"311010069","25 EAST OF R R 942", , , ,A WARD , ,"1187 (Part)",FORT,1.25,,Mahesh Mohite,2020-07-15 12:13:57.570,A,,true,false, ,,,,58,11,nihar, , ,0,true, , , ,,,97, , , , ,,,"31101241",false,,,false,false,7990,,,,,,,,,,false,
7956,26,"312020077", BELOW CLOCK TOWER, , , ,A WARD , ,"67 (Part)",Colaba,111.67,,Mahesh Mohite,2020-07-15 12:13:57.570,A,,true,false, ,,,,58,12,nihar, , ,0,true, , , ,,,97, , , , ,,,"31202148",false,,,false,false,7956,,,,,,,,,,false,
4213,26,"312020004","26",,,,A,SASSOON DOCK,"67",COLABA,77.76,,Mahesh Mohite,2020-03-03 16:20:30.300,A,mbpt_no,true,false, Date: 17-12-2019 User: mbpt_no <br>Remark: For sample<br> <br> Date: 17-12-2019 User: mbpt_hod <br>Remark: For sample<br>,,mbpt_hod,,58,12,mbpt_hod,,,0,true,,,,,,97,PLOT NO. 26-A,PLOT NO. 25,PLOT NO. 26-B,P.T PASSAGE,400005,1,"31202144",false,,,false,false,4213,,,,,,,,,,true,
8396,4,"101040001","Triangular Plot at PirPau (Near Old Pir Pau Berth)
",,,,M,PIR PAU PIER, , ,11904.33,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,1,,,,0,true,,,"4",,,97,,,,,400074,9,"10104106",false,,,false,false,3099,,,,,,,,,,true,
8397,7,"102020021",RR NO. 2060,,,,F/S,FRERE LAND,"147",PAREL-SEWERI,2852.36,,Mahesh Mohite,2020-03-03 16:20:30.300,A,,true,false,,,,,56,2,,,,0,true,,,"4",,,97,,,,,400033,7,"10202223",false,,,false,false,3205,,,,,,,,,,false,
